,price,year,manufacturer,model,condition,odometer,cylinders,fuel,title_status,transmission,drive,type,paint_color,state
14857,7000,1995,mercedes-benz,benz,excellent,106978.0,8 cylinders,gas,clean,automatic,rwd,convertible,silver,fl
34487,10990,2010,bmw,328x,excellent,83353.0,6 cylinders,gas,clean,automatic,4wd,sedan,black,ny
26346,5990,2010,dodge,jour,good,99650.0,6 cylinders,gas,clean,automatic,4wd,SUV,red,mi
44324,7999,2006,mercedes-benz,benz,like new,80120.0,6 cylinders,gas,clean,automatic,fwd,sedan,grey,pa
45221,6500,2004,nissan,fron,good,140073.0,6 cylinders,gas,clean,automatic,4wd,truck,custom,ri
3378,10000,1997,rover,disc,excellent,117117.0,8 cylinders,gas,clean,automatic,4wd,offroad,red,ca
55769,21995,2016,ford,f150,like new,145979.0,8 cylinders,gas,clean,automatic,4wd,truck,white,wy
25438,6300,2002,toyota,tund,excellent,235000.0,8 cylinders,gas,clean,automatic,rwd,truck,brown,mi
50120,6999,2008,mercury,mila,excellent,146068.0,4 cylinders,gas,clean,automatic,fwd,sedan,silver,tx
41419,7999,2001,ford,expl,excellent,126925.0,6 cylinders,gas,clean,automatic,4wd,sedan,red,or
25807,10965,2016,ford,fusi,excellent,156925.0,4 cylinders,gas,clean,automatic,fwd,sedan,silver,mi
25932,9995,2013,cadillac,srxl,excellent,141459.0,6 cylinders,gas,clean,automatic,fwd,wagon,green,mi
42337,5999,2008,volkswagen,beet,good,100338.0,5 cylinders,gas,clean,automatic,fwd,coupe,blue,or
26635,12450,2015,chevrolet,equi,excellent,78000.0,4 cylinders,gas,clean,automatic,fwd,SUV,white,mi
16948,18995,2006,gmc,sier,good,189718.0,8 cylinders,diesel,clean,automatic,4wd,truck,black,il
41809,10999,2009,subaru,impr,excellent,162500.0,4 cylinders,gas,clean,manual,4wd,wagon,white,or
46001,16495,2013,bmw,x5,like new,10948.0,6 cylinders,gas,clean,automatic,4wd,SUV,silver,sc
9433,12995,2015,ford,esca,excellent,91000.0,4 cylinders,gas,clean,automatic,4wd,SUV,black,co
13167,9599,2005,dodge,dako,good,110259.0,8 cylinders,gas,clean,automatic,rwd,other,brown,fl
9720,13500,2013,bmw,3ser,like new,70746.0,4 cylinders,gas,clean,automatic,4wd,sedan,blue,co
42162,6200,2014,ford,focu,good,116960.0,4 cylinders,gas,clean,manual,fwd,sedan,white,or
3555,13999,2016,honda,acco,excellent,114150.0,4 cylinders,gas,clean,automatic,fwd,sedan,grey,ca
